id_evento,data_evento,hora_evento,bairro,municipio,uf,latitude,longitude,tipo_evento,intensidade_evento,precipitacao_mm,duracao_horas,velocidade_vento_kmh,temperatura_celsius,umidade_relativa,nivel_mare_cm,area_afetada_m2,residencias_afetadas,populacao_afetada,nivel_alerta,tempo_resposta_horas,orgao_responsavel,status_atendimento,descricao_ocorrencia,custo_estimado_reais,Fluxo_agua_m2_seg,Total_acumulad0_L,Altura_cm
0001,2024-11-24,04:28,Vila Margarida,Santos,SP,-23.907691,-46.250207,maré alta,moderada,19,5.16,23.9,29.6,71,36.2,3041,128,668,moderado,0.29,Defesa Civil,em andamento,Voluptas ad voluptatum animi id error blanditiis.,419360.45,111,174,109
0002,2025-04-07,17:36,Embaré,São Vicente,SP,-23.867571,-46.25082,inundação,severa,58.2,2.61,39,30,51,67.3,4652,48,6,emergência,20.91,Corpo de Bombeiros,em andamento,Accusantium voluptatem molestiae facere eos debitis id quae minus voluptas minus ipsa mollitia.,454785.69,167,173,11
0003,2023-10-07,23:38,Japuí,Praia Grande,SP,-23.880939,-46.342161,vento intenso,moderada,86.5,5.43,40,16.4,98,43.7,630,149,101,baixo,18.4,Corpo de Bombeiros,concluído,Eligendi ullam placeat a laudantium delectus doloribus exercitationem excepturi temporibus fugit.,315289.99,98,6,123
0004,2023-03-04,09:40,Itararé,São Vicente,SP,-23.924191,-46.331137,vento intenso,forte,165.6,10.21,36.5,31.2,93,145.5,18,115,705,baixo,21.76,Defesa Civil,pendente,Minima at deserunt dolorem nemo laborum enim amet pariatur architecto voluptatibus voluptas.,432073.18,184,117,138
0005,2023-02-26,02:45,Centro,São Vicente,SP,-23.948121,-46.254828,inundação,leve,74.8,5.28,84.6,36.7,55,143.6,968,109,338,baixo,0.74,Prefeitura,pendente,Eum earum facere consequuntur laborum provident magni quaerat fugiat vel quas magnam doloribus neque.,371439.58,70,176,63
0006,2023-10-27,11:37,Japuí,São Vicente,SP,-23.885481,-46.260447,maré alta,moderada,148.9,6.19,88.1,34.6,63,180.5,1875,188,711,alto,17.14,Prefeitura,pendente,Aspernatur excepturi repellendus dolore voluptatem officia dicta atque quod ut amet nemo.,184485.48,65,119,55
0007,2025-06-25,13:59,Embaré,Mongaguá,SP,-23.918768,-46.251758,maré alta,severa,91.1,11.51,67.5,35.4,87,110.3,1219,62,564,alto,9.05,Prefeitura,concluído,Accusantium molestiae quas aperiam quam quod odio porro veniam.,494150.7,57,31,116
0008,2024-01-28,05:48,Parque Bitaru,Mongaguá,SP,-23.914868,-46.342682,inundação,moderada,41.6,7.25,79.8,25,54,56.2,4532,184,351,moderado,6.61,Defesa Civil,concluído,Tempora error minus porro rerum odio autem in facilis optio ipsa magni aliquid.,115278.46,108,127,105
0009,2024-05-12,12:05,Japuí,Santos,SP,-23.877487,-46.342255,chuva forte,leve,132.5,11.71,37.1,29.5,64,71.6,3007,55,467,alto,20.2,Defesa Civil,concluído,Deserunt tenetur ipsum necessitatibus architecto dolor distinctio ut omnis mollitia sit suscipit.,476136.61,18,197,23
0010,2024-08-04,07:42,Boqueirão,Praia Grande,SP,-23.907214,-46.321758,vento intenso,leve,96.7,7.78,118.4,36.8,51,6.5,2591,94,671,moderado,11.11,Polícia Militar,concluído,Numquam totam aut quam velit est mollitia modi inventore accusamus sint repellat.,100785.7,147,180,122
0011,2024-07-27,05:01,Catiapoã,São Vicente,SP,-23.880722,-46.333127,chuva forte,severa,108.7,11.5,106.7,20.6,71,203.2,4334,40,0,emergência,16.02,Corpo de Bombeiros,concluído,Nam esse a fuga atque reiciendis mollitia amet fugiat nesciunt impedit expedita fuga culpa doloremque.,38799.7,139,122,33
0012,2023-08-07,03:26,Catiapoã,São Vicente,SP,-23.882125,-46.337814,maré alta,moderada,119.3,3.16,62.2,25.2,51,77.8,550,195,751,moderado,17.98,Polícia Militar,em andamento,Natus commodi mollitia esse nobis tempore autem animi.,11062.07,143,137,89
0013,2023-10-01,00:35,Centro,Praia Grande,SP,-23.861336,-46.308757,chuva forte,severa,21.2,1.2,93.2,28.9,90,63.6,793,80,507,baixo,3.92,Prefeitura,em andamento,Rem suscipit possimus necessitatibus accusamus a asperiores eligendi ea ad quibusdam dolorem nobis consectetur quae laborum.,370953.73,174,176,177
0014,2023-07-28,05:05,Itararé,São Vicente,SP,-23.94384,-46.336283,inundação,moderada,69.9,9.59,68.2,34.9,84,211.2,3109,196,94,alto,12.22,Prefeitura,concluído,Natus nihil placeat beatae amet deleniti ipsum nam eaque.,15029.28,38,140,75
0015,2024-04-14,19:58,Japuí,Guarujá,SP,-23.934347,-46.280315,alagamento,forte,194.6,9.09,49.2,30.5,93,249.8,4284,3,964,moderado,7.33,Defesa Civil,em andamento,Facilis dolorem fugiat in rem numquam suscipit eius modi quisquam.,107983.22,108,166,186
0016,2023-09-26,16:48,Boqueirão,Santos,SP,-23.92054,-46.268867,chuva forte,moderada,193.1,7.14,42.4,20.9,43,98.4,3543,45,914,emergência,3.19,Prefeitura,pendente,Ipsam temporibus quis eligendi suscipit aut asperiores sunt veritatis excepturi at corrupti minima corrupti.,299992.4,104,88,19
0017,2024-07-13,12:03,Itararé,Mongaguá,SP,-23.89924,-46.303872,granizo,moderada,62.3,11.09,69,28.7,83,178.4,356,101,188,emergência,23.52,Prefeitura,em andamento,Voluptatem occaecati modi ad autem nisi sint dolorum omnis adipisci laudantium doloribus eius.,375948.03,3,125,44
